date,fund,company,ticker,cusip,market value($),weight(%)
10/01/2021,IZRL,MONDAY.COM LTD,MNDY,M7S64H106,5524523.20,2.12
10/01/2021,IZRL,INMODE LTD,INMD,M5425M103,5508997.50,2.11
10/01/2021,IZRL,PLASSON INDUSTRIES LTD,PLSN,6094728,4900955.60,1.88
10/01/2021,IZRL,NAYAX LTD,NYAX,BMXT7N9,4867078.68,1.87
10/01/2021,IZRL,ENLIVEX THERAPEUTICS LTD,ENLV,M4130Y106,4523034.36,1.73
10/01/2021,IZRL,PRIORTECH LTD,PRTC,6677776,4461447.76,1.71
10/01/2021,IZRL,KORNIT DIGITAL LTD,KRNT,M6372Q113,4440333.72,1.70
10/01/2021,IZRL,PLAYTIKA HOLDING CORP,PLTK,72815L107,4296630.78,1.65
10/01/2021,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,6328074,4189326.14,1.61
10/01/2021,IZRL,CAMTEK LTD,CAMT,M20791105,4196349.88,1.61
10/01/2021,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,4135673.10,1.58
10/01/2021,IZRL,ARAD LTD,ARD,B0G7VP6,4128384.81,1.58
10/01/2021,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,4116951.32,1.58
10/01/2021,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,4106855.30,1.57
10/01/2021,IZRL,BET SHEMESH ENGINES HOLDINGS,BSEN,6103936,4056726.16,1.55
10/01/2021,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,4042934.16,1.55
10/01/2021,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,G7T16G103,4035330.14,1.55
10/01/2021,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,3993922.40,1.53
10/01/2021,IZRL,NICE LTD - SPON ADR,NICE,653656108,3952984.68,1.51
10/01/2021,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,3934921.04,1.51
10/01/2021,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,3910832.62,1.50
10/01/2021,IZRL,RADWARE LTD,RDWR,M81873107,3905686.44,1.50
10/01/2021,IZRL,SOLAREDGE TECHNOLOGIES INC,SEDG,83417M104,3895551.36,1.49
10/01/2021,IZRL,HILAN LTD,HLAN,6267230,3874898.80,1.48
10/01/2021,IZRL,NOVA LTD,NVMI,M7516K103,3858378.80,1.48
10/01/2021,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,6987709,3847529.83,1.47
10/01/2021,IZRL,SILICOM LTD,SILC,M84116108,3749083.00,1.44
10/01/2021,IZRL,MATRIX IT LTD,MTRX,6747754,3734343.20,1.43
10/01/2021,IZRL,MALAM - TEAM LTD,MLTM,6875923,3701146.11,1.42
10/01/2021,IZRL,ITURAN LOCATION AND CONTROL,ITRN,M6158M104,3670403.79,1.41
10/01/2021,IZRL,POLYPID LTD,PYPD,M8001Q118,3672315.06,1.41
10/01/2021,IZRL,BATM ADVANCED COMMUNICATIONS,BATM,B85PTW0,3670674.70,1.41
10/01/2021,IZRL,AUDIOCODES LTD,AUDC,M15342104,3613469.38,1.38
10/01/2021,IZRL,CERAGON NETWORKS LTD,CRNT,M22013102,3590553.88,1.38
10/01/2021,IZRL,E & M COMPUTING,EMCO,6302216,3549870.42,1.36
10/01/2021,IZRL,WALKME LTD,WKME,M97628107,3520496.00,1.35
10/01/2021,IZRL,KAMADA LTD,KMDA,B0L2CR5,3436584.06,1.32
10/01/2021,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,3454632.25,1.32
10/01/2021,IZRL,PERION NETWORK LTD,PERI,M78673114,3410699.97,1.31
10/01/2021,IZRL,TUFIN SOFTWARE TECHNOLOGIES,TUFN,M8893U102,3384223.25,1.30
10/01/2021,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,6253433,3388842.88,1.30
10/01/2021,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,BG1YKN5,3359946.65,1.29
10/01/2021,IZRL,PURPLE BIOTECH LTD-ADR,PPBT,74638P109,3356246.64,1.29
10/01/2021,IZRL,ELECTRA CONSUMER PRODUCTS 19,ECP,B536CY7,3314239.24,1.27
10/01/2021,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,3299815.06,1.26
10/01/2021,IZRL,SIMILARWEB LTD,SMWB,M84137104,3259052.16,1.25
10/01/2021,IZRL,TARO PHARMACEUTICAL INDUS,TARO,M8737E108,3255756.21,1.25
10/01/2021,IZRL,CHECK POINT SOFTWARE TECH,CHKP,M22465104,3244474.08,1.24
10/01/2021,IZRL,COLLPLANT BIOTECHNOLOGIES LT,CLGN UQ,M2R51X116,3228975.20,1.24
10/01/2021,IZRL,ENTERA BIO LTD,ENTX,M40527109,3216962.97,1.23
10/01/2021,IZRL,RADA ELECTRONIC INDS LTD,RADA,M81863124,3145428.72,1.21
10/01/2021,IZRL,FIVERR INTERNATIONAL LTD,FVRR,M4R82T106,3085099.84,1.18
10/01/2021,IZRL,NANO DIMENSION LTD - ADR,NNDM,63008G203,3054511.20,1.17
10/01/2021,IZRL,ABRA INFORMATION TECHNOLOGIE,ABRA,B2NB586,3053346.24,1.17
10/01/2021,IZRL,COGNYTE SOFTWARE LTD,CGNT,M25133105,2961090.60,1.13
10/01/2021,IZRL,BIOLINERX LTD-SPONS ADR,BLRX ,09071M205,2931782.49,1.12
10/01/2021,IZRL,EVOGENE LTD,EVGN,B289530,2930693.95,1.12
10/01/2021,IZRL,ALLOT LTD,ALLT,M0854Q105,2894207.90,1.11
10/01/2021,IZRL,VASCULAR BIOGENICS LTD,VBLT,M96883109,2856593.00,1.09
10/01/2021,IZRL,STRATASYS LTD,SSYS,M85548101,2780534.64,1.07
10/01/2021,IZRL,NANO-X IMAGING LTD,NNOX,M70700105,2781292.50,1.07
10/01/2021,IZRL,ICECURE MEDICAL LTD,ICCM,B67PC92,2737696.86,1.05
10/01/2021,IZRL,JFROG LTD,FROG,M6191J100,2716012.50,1.04
10/01/2021,IZRL,AQUARIUS ENGINES AM LTD,AQUA,BN7JJ92,2662739.56,1.02
10/01/2021,IZRL,CHECK CAP LTD,CHEK,M2361E203,2673177.69,1.02
10/01/2021,IZRL,AUGWIND ENERGY TECH STORAGE,AUGN,B290CJ7,2642132.32,1.01
10/01/2021,IZRL,MEDIWOUND LTD,MDWD,M68830104,2547037.08,0.98
10/01/2021,IZRL,GAMIDA CELL LTD,GMDA,M47364100,2444802.08,0.94
10/01/2021,IZRL,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,2452206.65,0.94
10/01/2021,IZRL,WIX.COM LTD,WIX,M98068105,2424932.78,0.93
10/01/2021,IZRL,COMPUGEN LTD,CGEN,M25722105,2126054.31,0.81
10/01/2021,IZRL,PHINERGY LTD,PNRG,BMZ52P2,2035265.87,0.78
10/01/2021,IZRL,INNOVIZ TECHNOLOGIES LTD,INVZ UR,M5R635108,2032220.16,0.78
10/01/2021,IZRL,CHEMOMAB THERAPEUTICS LTD,CMMB,16385C104,2000194.84,0.77
10/01/2021,IZRL,INTERCURE LTD,INCR,B23SD94,1976431.39,0.76
10/01/2021,IZRL,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1114715.66,0.43
10/01/2021,IZRL,REDHILL BIOPHARMA LTD-SP ADR,RDHL,757468103,87624.56,0.03
